unit_symbol,category,full_name,language_code,statutory_schedule
ਕਿਲੋ,Mass,Kilogram (Punjabi),pa,Schedule I
ਮਿਲੀ,Volume,Millilitre (Punjabi),pa,Schedule I
ਲਿਟਰ,Volume,Litre (Punjabi),pa,Schedule I
ਨੰਬਰ,Count,Number (Punjabi),pa,Schedule II
ਪੈਕਟ,Count,Packet (Punjabi),pa,Schedule II
گرام,Mass,Gram (Urdu),ur,Schedule I
کلو,Mass,Kilogram (Urdu),ur,Schedule I
ملی,Volume,Millilitre (Urdu),ur,Schedule I
لیٹر,Volume,Litre (Urdu),ur,Schedule I
تعداد,Count,Count/Quantity (Urdu),ur,Schedule II
கிராம்,Mass,Gram (Tamil),ta,Schedule I
கிலோ,Mass,Kilogram (Tamil),ta,Schedule I
மில்லி,Volume,Millilitre (Tamil),ta,Schedule I
லிட்டர்,Volume,Litre (Tamil),ta,Schedule I
எண்ணிக்கை,Count,Count (Tamil),ta,Schedule II
ગ્રામ,Mass,Gram (Gujarati),gu,Schedule I
કિલો,Mass,Kilogram (Gujarati),gu,Schedule I
નંગ,Count,Unit/Count (Gujarati),gu,Schedule II
ಗ್ರಾಂ,Mass,Gram (Kannada),kn,Schedule I
ಕೆಜಿ,Mass,Kilogram (Kannada),kn,Schedule I
ಲೀಟರ್,Volume,Litre (Kannada),kn,Schedule I
കിലോഗ്രാം,Mass,Kilogram (Malayalam),ml,Schedule I
ലിറ്റർ,Volume,Litre (Malayalam),ml,Schedule I
